id,family_id,iata,icao,wtc,engine_count,engine_type,name
143,146,143,B463,M,4,Jet,BAE Systems 146-300 Passenger
721,727,721,B721,M,3,Jet,Boeing 727-100 Passenger
735,737CL,735,B735,M,2,Jet,Boeing 737-500 Passenger
73R,737NG,73R,B737,M,2,Jet,Boeing 737-700 Mixed Configuration/BBJC
742,747,742,B742,H,4,Jet,Boeing 747-200 Passenger
744,747,744,B744,H,4,Jet,Boeing 747-400 Passenger
77W,777,77W,B77W,H,2,Jet,Boeing 777-300ER
A26,AN,A26,AN26,M,2,Turboprop/Turboshaft,Antonov An-26
A4F,AN,A4F,A124,H,4,Jet,Antonov An-124 Ruslan
MA6,MA,MA6,AN24,M,2,Turboprop/Turboshaft,Xian Yunshuji MA-60/MA600
ANF,AN,ANF,AN12,M,4,Turboprop/Turboshaft,Antonov An-12
AR7,AR,AR7,RJ70,M,4,Jet,Avro RJ70
AR8,AR,AR8,RJ85,M,4,Jet,Avro RJ85
CS5,CS,CS5,CN35,M,2,Turboprop/Turboshaft,CASA / lAe CN-235
DH3,DH8,DH3,DH8C,M,2,Turboprop/Turboshaft,De Havilland (Bombardier) DHC-8-300 Dash 8 / 8Q
DHL,DHC3,DHL,DHC3,L,1,Piston,De Havilland (Bombardier) DHC-3 Turbo Otter
MBH,EURCOP,MBH,B105,L,2,Turboprop/Turboshaft,Eurocopter (MBB) BO105
DF1,,DF1,FA10,M,2,Jet,Dassault Falcon 10 / 100
DC3,BOEING,DC3,DC3,M,2,Piston,Boeing (Douglas) DC-3 Passenger
D8L,DC8,D8L,DC86,H,4,Jet,Boeing (Douglas) DC-8-62 Passenger
D8Q,DC8,D8Q,DC87,H,4,Jet,Boeing (Douglas) DC-8-72 Passenger
D92,DC9,D92,DC92,M,2,Jet,Boeing (Douglas) DC-9-20 Passenger
E75,EMBR,E75,E170,M,2,Jet,Embraer 175
SHS,,SHS,SC7,L,2,Turboprop/Turboshaft,Shorts Skyvan (SC-7)
SU9,,SU9,SU95,M,2,Jet,Sukhoi Superjet 100-95
ATZ,,ATZ,,,,,ATR 42 Freighter
EMJ,EMBR,EMJ,,M,,,Embraer 170/190
7ME,BOEING,7ME,,,,,Boeing 7ME
LCH,LAND,LCH,,,,,Surface Equipment-Launch / Boat
CL3,BBRDIER,CL3,CL30,M,2,Jet,Bombardier Challenger 300
CS9,CS,CS9,C295,M,2,Turboprop/Turboshaft,CASA / lAe C-295
EC5,EURCOP,EC5,EC55,L,2,Turboprop/Turboshaft,Eurocopter EC155
338,330,338,A338,H,2,Jet,Airbus A330-800 Neo
318,32S,318,A318,M,2,Jet,Airbus A318
32B,32S,32B,A321,M,2,Jet,Airbus A321 (sharklets)
321,32S,321,A321,M,2,Jet,Airbus A321
74T,74F,74T,B741,H,4,Jet,Boeing 747-100 Freighter
74X,74F,74X,B742,H,4,Jet,Boeing 747-200 Freighter
76Y,76F,76Y,B763,H,2,Jet,Boeing 767-300 Freighter
A38,AN,A38,AN38,M,2,Turboprop/Turboshaft,Antonov An-38
M87,BOEING,M87,MD87,M,2,Jet,Boeing (Douglas) MD-87
G2B,GULF,G2B,GLF2,M,2,Jet,Gulfstream Aerospace G-1159 Gulfstream IIB
GJ3,GULF,GJ3,GLF3,M,2,Jet,Gulfstream Aerospace G-1159A Gulfstream III
919,,919,C919,M,2,Jet,Comac C919
100,,100,F100,M,2,Jet,Fokker 100
CV2,,CV2,CVLP,M,2,Piston,Convair 240 Passenger
D6F,BOEING,D6F,DC6,M,4,Piston,Boeing (Douglas) DC-6A / DC-6B / DC-6C Freighter
DHD,BAE,DHD,DOVE,L,2,Piston,BAE Systems (De Havilland) 104 Dove
DHH,BAE,DHH,HERN,L,4,Piston,BAE Systems (De Havilland) 114 Heron
ER4,EMBR,ER4,E145,M,2,Jet,Embraer RJ145
L11,,L11,L101,H,3,Jet,Lockheed Martin L-1011 TriStar 1 / 50 / 100 / 150 / 200 / 250 Passenger
CL4,,CL4,CL44,M,,,Canadair CL-44
M80,,M80,MD80,M,,,McDonnell Douglas MD80
BH2,,BH2,,,,,Bell (Helicopters)
CN1,CESSNA,CN1,,L,,,Cessna (Light aircraft-single piston engine)
CNJ,CESSNA,CNJ,,L,,,Cessna Citation
LRJ,,LRJ,,M,,,Learjet
142,BAE,142,B462,M,4,Jet,BAE Systems 146-200 Passenger
31X,310,31X,A310,H,2,Jet,Airbus A310-200 Freighter
313,310,313,A310,H,2,Jet,Airbus A310-300 Passenger
319,32S,319,A319,M,2,Jet,Airbus A319
33X,330,33X,A332,H,2,Jet,Airbus A330-200 Freighter
333,330,333,A333,H,2,Jet,Airbus A330-300
73S,737NG,73S,B737,M,2,Jet,Boeing 737-700 Freighter
74D,74M,74D,B743,H,4,Jet,Boeing 747-300 / 747-200 SUD Mixed Configuration
74L,747,74L,N74S,H,4,Jet,Boeing 747SP Passenger
BEF,,BEF,B190,M,2,Turboprop/Turboshaft,Hawker Beechcraft 1900 Freighter
CR7,BBRDIER,CR7,CRJ7,M,2,Jet,Canadair (Bombardier) Regional Jet 700 and Challenger 870
D1M,BOEING,D1M,DC10,H,3,Jet,Boeing (Douglas) DC-10-30 Mixed Configuration
EC3,EURCOP,EC3,EC30,L,1,Turboprop/Turboshaft,Eurocopter EC130
FRJ,,FRJ,J328,M,2,Jet,Fairchild Dornier 328JET
NDC,,NDC,S601,L,2,Jet,Aerospatiale SN601 Corvette
D9C,DC9,D9C,DC93,M,2,Jet,Boeing (Douglas) DC-9-30 Freighter
F70,,F70,F70,M,2,Jet,Fokker 70
IL7,,IL7,IL76,H,4,Jet,Ilyushin Il-76
LOH,,LOH,C130,M,4,Turboprop/Turboshaft,Lockheed Martin L-182 / L-282 / L-382 (L-100) Hercules
PN6,,PN6,P68,L,2,Piston,Vulcanair (Partenavia) P.68
SFB,,SFB,SF34,M,2,Turboprop/Turboshaft,Saab 340B
APF,BAE,APF,ZZZZ,,,,BAE Systems  ATP Freighter
SWF,,SWF,,,,,Fairchild (Swearingen) SA226 Freighter
AN6,AN,AN6,,M,,,Antonov AN-26 / AN-30 /AN-32
7MB,BOEING,7MB,,,,,Boeing 7MB
CNT,CESSNA,CNT,,L,,,Cessna (Light aircraft-twin turboprop engines)
PAT,,PAT,,L,,,Piper (Light aircraft-twin turboprop engines)
SU7,,SU7,ZZZZ,M,,,Sukhoi Superjet 100-75
H21,,H21,H25C,M,2,Jet,Hawker 1000
H28,,H28,H25B,M,2,Jet,Hawker 850XP/900
223,220,223,BCS3,M,2,Jet,Airbus A220-300
312,310,312,A310,H,2,Jet,Airbus A310-200 Passenger
